PID|MID|SID|SID2
1483|18|4|0
1321|13|4|9
1033|18|4|6
1609|7|5|4
1415|17|8|3
1080|4|4|5
847|15|8|9
408|1|2|3
1177|2|7|9
1646|14|3|4
1710|7|5|7
1958|1|0|0
1637|17|2|0
1407|1|6|3
1965|10|8|1
1681|4|8|7
1202|18|5|5
1762|18|6|4
320|13|4|8
1354|18|4|1
309|14|5|8
578|3|3|6
330|13|8|6
551|5|4|8
868|18|3|5
1571|14|8|6
175|4|5|8
299|3|9|6
689|16|0|9
338|6|8|7
535|9|4|1
1424|4|6|0
937|16|0|1
395|4|0|7
1717|7|0|6
281|11|8|2
413|8|8|0
1508|2|3|1
653|1|2|3
1811|8|0|4
1209|16|4|3
316|5|6|6
1467|15|8|4
986|17|7|0
1267|15|0|3
1936|8|7|3
1585|11|1|2
1411|16|6|7
1287|15|0|7
1981|8|7|9
1602|1|0|3
1890|16|3|0
1278|12|2|7
1103|17|5|1
775|12|3|3
1261|3|3|5
640|7|2|3
1195|14|7|3
929|13|4|7
1414|3|1|3
1166|9|3|3
924|7|8|8
978|9|1|3
435|18|7|7
799|10|1|7
278|2|1|7
412|5|6|0
288|8|8|0
1344|10|1|2
1131|18|9|1
557|4|5|7
176|16|9|6
92|6|4|3
728|1|6|9
1524|17|9|3
1288|15|0|4
165|6|2|7
51|18|6|2
1501|14|7|6
677|1|0|8
967|3|6|0
1522|3|7|6
563|5|4|1
709|11|3|2
1874|14|0|6
702|3|8|0
774|17|9|2
299|5|3|6
29|3|1|7
1340|7|9|9
468|11|8|1
1533|16|9|7
1843|7|4|3
1801|14|0|5
709|4|5|1
646|3|0|6
1706|9|8|8
96|12|2|8
1592|6|6|5
37|16|8|6
1087|7|8|2
629|8|4|3
1378|1|3|7
1978|17|2|2
1524|9|7|2
296|10|9|4
871|18|1|5
1200|1|3|4
165|17|2|8
710|4|3|8
1984|13|4|3
275|15|9|9
1749|3|1|0
601|10|9|9
1664|2|0|8
1619|11|1|9
795|5|5|6
1561|8|4|3
1858|15|7|0
973|3|0|1
659|18|6|9
1237|15|9|0
1182|8|3|4
1576|12|0|4
1383|5|7|6
228|8|0|5
991|16|0|8
1034|18|4|7
861|2|3|3
1160|6|6|0
674|17|8|6
25|2|3|6
1021|4|9|6
386|12|8|1
129|10|2|6
461|6|7|7
528|4|6|6
1916|2|6|8
609|8|2|9
1662|1|9|9
1281|9|0|3
1723|17|4|9
534|13|4|3
1052|5|0|3
1414|17|9|9
1542|10|9|6
269|18|7|3
1540|4|4|1
1161|10|5|6
1843|18|4|3
1719|10|9|1
60|9|2|1
844|8|1|3
1466|18|5|2
837|4|4|1
1328|10|5|5
1389|11|7|5
725|13|3|6
301|1|9|8
751|15|0|8
816|18|3|6
1411|5|1|8
604|7|7|5
1164|18|2|2
1387|9|1|3
1256|12|1|5
571|9|7|4
547|8|8|8
718|10|7|7
159|6|2|5
882|12|1|2
828|6|0|5
160|12|5|2
773|7|7|2
758|16|6|9
691|6|2|9
195|10|5|1
1115|7|0|1
1113|5|0|8
19|9|7|2
701|7|2|0
90|8|8|4
730|16|9|9
414|12|6|3
649|14|2|5
1356|12|0|0
1932|17|5|6
1368|18|5|9
294|6|4|5
1842|11|7|6
1432|7|2|0
801|8|7|5
665|10|1|7
1628|13|1|8
1898|17|3|5
1414|18|1|1
1497|15|7|3
1856|18|5|4
388|9|3|9
1673|11|8|0
1200|2|5|6
656|3|3|1
645|1|9|3
660|1|6|6
664|11|5|3
213|16|6|7
1433|2|8|1
70|18|7|3
571|16|7|0
1350|10|3|8
1220|18|4|2
661|17|6|3
1083|14|0|0
305|10|7|1
1558|16|8|7
1777|7|7|4
1208|13|1|7
1991|7|4|8
1107|5|2|7
372|12|4|0
229|18|5|8
1|18|7|7
1127|2|0|5
59|9|4|5
1629|16|2|4
731|13|8|9
1266|3|3|5
1035|7|0|7
218|13|0|2
131|1|4|0
1805|2|7|8
1008|10|6|9
281|2|0|6
117|2|1|8
1764|5|0|9
244|3|4|0
1054|4|9|5
1471|4|6|4
1760|4|1|5
88|4|8|1
458|3|9|3
1894|4|9|4
1722|1|3|4
456|1|8|1
1480|5|3|3
1540|10|7|8
879|17|6|7
1240|5|9|2
1134|14|1|8
1652|14|9|5
1027|12|3|8
1329|11|5|7
785|3|3|2
26|9|8|0
253|8|0|0
1395|17|6|2
787|14|8|9
1409|1|4|5
1361|10|9|6
1148|15|8|4
1374|3|9|1
981|18|3|1
1535|9|3|7
627|17|3|9
448|2|7|8
943|4|1|2
803|6|4|1
1245|4|9|4
416|17|2|2
1168|18|5|0
825|11|2|4
1810|12|0|7
990|2|7|8
1838|10|6|9
329|17|0|2
114|13|7|1
1359|15|0|1
1834|3|5|5
695|7|3|9
299|9|9|7
981|9|8|0
1427|18|0|2
1282|18|4|3
1403|5|7|4
933|2|6|5
800|1|4|2
739|13|5|6
1640|4|5|2
788|4|2|3
1978|14|6|0
1952|10|1|0
1142|4|5|0
49|6|7|2
1287|1|5|4
1979|3|3|9
686|2|8|7
1749|18|5|5
1844|11|1|1
672|13|5|1
695|4|7|6
1675|12|8|5
1889|12|9|7
1747|18|5|3
1171|17|5|4
1243|5|4|3
1978|6|7|5
1638|16|4|4
815|9|3|7
1411|2|3|4
932|2|0|6
1514|18|6|2
648|9|4|5
723|17|3|7
1906|16|0|3
1865|4|3|4
1538|6|9|2
1317|14|6|3
1912|16|0|4
1500|16|9|1
1440|4|3|6
735|16|3|8
1020|6|0|0
856|2|3|4
1865|13|5|5
558|12|4|3
827|15|7|5
1771|12|6|9
31|6|0|3
1057|7|3|1
1151|6|8|1
228|2|0|6
232|1|4|6
1532|13|1|1
729|13|9|9
873|9|7|5
1675|18|9|3
700|11|6|8
214|18|7|2
1000|5|4|1
799|15|7|8
1390|10|2|8
132|16|0|3
1076|5|8|6
169|6|0|0
1965|18|1|0
577|2|6|2
475|13|6|2
1024|8|1|4
1741|18|5|6
542|10|1|2
1592|11|5|8
1394|11|0|2
879|3|2|1
1938|2|7|2
741|5|7|4
943|11|8|0
1893|18|8|5
1035|3|4|4
371|12|9|8
895|7|8|3
356|1|2|5
811|14|1|1
1014|2|2|4
737|5|6|7
84|1|4|9
1589|8|3|4
1215|3|3|9
1971|6|0|2
63|17|8|5
164|1|7|6
1791|2|6|2
1385|5|0|9
1618|10|5|6
552|11|8|2
1119|6|8|1
1373|1|1|4
1953|3|0|5
354|5|3|4
1663|5|1|5
951|15|7|0
386|12|6|9
1289|10|7|8
1942|18|9|0
1312|3|4|1
311|14|8|9
430|4|5|5
1542|11|1|5
1068|11|4|4
171|2|7|0
491|18|1|7
724|5|4|6
1396|6|5|0
1625|5|4|8
365|13|1|9
77|4|3|6
837|1|0|2
1174|17|9|4
374|1|3|7
891|7|9|4
480|10|6|1
185|3|6|8
782|8|3|6
1008|9|4|4
1706|18|5|5
69|10|2|8
480|4|6|3
348|6|1|3
871|12|1|0
1847|8|7|1
755|5|4|5
1071|1|6|6
1235|10|5|2
727|18|8|9
573|14|5|0
1256|14|1|6
358|2|1|6
1386|5|9|9
203|2|4|6
1682|11|3|5
1867|18|8|9
78|9|9|6
718|13|4|0
293|16|5|5
1203|18|0|7
946|18|1|7
1257|17|5|4
1577|14|1|0
1118|11|6|4
1661|7|5|6
1935|9|0|0
1863|1|8|1
1088|7|1|1
1743|2|4|6
356|13|4|9
1635|14|1|2
1193|15|7|7
5|6|9|4
1514|8|4|6
603|16|3|2
137|3|3|8
1297|9|7|9
543|10|5|6
1375|10|3|2
1129|13|9|0
1838|13|7|3
1114|2|1|9
1567|5|1|7
613|12|1|1
1462|13|6|8
267|6|5|9
1151|14|9|8
167|17|3|5
1128|17|5|5
1890|17|7|1
2000|18|3|6
1594|8|0|4
1623|2|4|4
721|17|1|3
346|9|9|1
98|7|9|5
1820|18|9|3
50|10|7|7
122|7|1|9
239|10|8|3
164|16|5|6
952|3|1|8
468|7|9|2
470|17|8|6
1658|12|9|8
1090|4|0|5
651|6|8|1
684|5|7|7
720|17|9|5
694|4|9|6
812|16|1|6
98|7|7|0
1563|11|3|3
935|13|9|8
553|10|3|1
299|9|3|1
1364|3|9|6
827|2|5|2
1957|6|2|8
1531|18|6|5
742|7|6|6
78|9|8|9
616|3|7|2
288|17|9|1
1210|13|2|5
448|13|1|9
1916|9|9|8
1931|12|5|9
1456|18|7|4
1979|6|7|0
313|3|9|4
478|8|1|8
1953|5|2|5
1149|6|0|9
1136|4|4|7
954|6|0|7
911|8|7|0
1834|2|4|5
1284|11|9|6
830|4|3|4
1977|8|8|1
347|9|4|1
284|14|4|9
749|12|6|0
885|4|0|6
500|5|2|2
921|15|8|1
1782|7|2|5
786|2|1|7
109|2|5|2
1321|13|5|4
624|8|9|5
1225|5|6|3
762|7|4|2
509|18|3|9
655|11|0|1
57|10|8|4
845|9|1|7
109|8|3|4
298|12|1|5
884|11|4|0
1733|14|9|5
1567|3|5|5
1723|5|8|9
1974|13|1|0
196|2|7|1
1764|13|6|1
1927|16|1|6
323|18|8|7
468|12|0|3
559|12|1|7
1818|11|3|9
871|4|4|8
804|2|3|1
930|3|2|4
63|17|8|4
328|14|7|1
351|18|5|1
1417|18|6|5
12|8|2|8
1881|16|6|2
133|6|4|3
394|8|0|6
1396|16|7|3
50|13|5|0
227|1|6|8
917|12|7|5
1765|14|0|1
1649|11|0|9
449|14|5|6
1061|6|8|0
218|7|4|2
1189|4|0|2
1591|7|5|4
309|11|6|4
618|1|3|1
203|18|7|3
1190|5|7|5
824|5|6|3
474|14|2|8
136|10|6|9
42|18|2|7
298|9|0|1
596|8|4|6
347|5|5|8
335|16|4|0
510|1|6|0
1045|11|7|3
1374|16|4|1
598|12|0|7
1018|14|9|9
1676|17|0|6
1347|18|6|5
1718|16|0|9
280|6|0|6
1918|9|2|5
1914|10|5|7
1906|17|9|4
753|5|8|5
563|13|9|9
1750|18|2|4
888|18|8|7
533|10|1|8
1794|18|6|3
1768|10|4|9
913|15|8|4
1728|14|5|8
1363|14|9|1
1356|9|0|5
1688|8|1|3
1362|13|4|8
7|18|6|0
1070|2|6|8
1337|2|7|9
898|13|3|8
741|3|8|3
1363|9|6|0
774|4|6|9
1785|13|9|2
1242|12|4|7
1137|16|8|2
91|5|8|3
509|10|5|7
1423|15|8|0
786|16|5|2
1359|10|0|0
1339|18|1|6
1604|6|3|0
90|5|8|3
941|17|9|0
580|6|7|2
1116|6|7|8
164|14|3|2
607|13|7|8
1193|13|6|5
964|7|5|6
1053|13|8|6
1654|9|9|4
43|3|7|9
929|6|2|0
1611|17|6|3
1575|1|0|3
1313|7|1|5
220|8|3|8
810|12|7|2
698|4|6|1
1554|7|6|5
1469|12|4|8
902|10|6|3
676|18|8|4
1348|1|3|0
410|6|0|0
1561|1|5|6
796|18|3|0
1282|4|3|2
588|15|7|1
1553|8|3|1
294|6|3|6
1288|18|6|5
1755|6|4|7
1249|8|4|3
1675|18|2|2
539|4|5|6
1834|13|9|4
979|11|2|2
1947|10|2|8
1980|13|6|0
1666|17|7|4
1174|15|9|2
986|11|1|4
1196|2|5|1
1413|6|7|2
718|10|7|5
13|12|9|5
1|17|2|3
350|10|8|7
711|16|6|5
1414|16|4|0
1298|11|8|4
172|3|6|0
131|2|6|9
424|14|4|7
1835|14|7|1
1073|2|7|8
616|13|8|5
1362|2|6|1
497|8|1|3
530|13|8|1
113|18|3|4
1385|10|7|3
526|7|2|7
1945|15|9|5
969|12|0|8
947|12|5|7
542|16|4|5
1721|18|1|7
546|13|0|0
1685|3|8|2
744|12|8|0
1479|8|4|2
921|15|9|9
1289|4|2|9
205|10|1|4
816|18|2|8
1579|9|3|9
1645|15|7|6
909|13|5|0
1578|3|7|8
1163|12|4|1
557|12|5|2
959|14|7|8
1414|7|4|6
1353|10|0|4
1488|14|0|0
992|9|6|7
1916|14|0|1
394|2|2|5
856|15|7|6
1629|14|0|1
667|7|4|1
942|12|5|3
612|6|6|8
244|4|9|0
1218|8|3|6
1866|1|8|3
733|18|3|2
840|16|3|0
302|18|3|4
1590|4|3|7
1024|1|7|5
1996|9|8|6
438|4|3|3
1307|16|8|4
1666|3|8|2
1543|3|3|0
1317|9|5|1
1448|14|8|3
538|9|7|1
523|12|4|3
260|16|3|3
1975|6|7|9
501|16|7|7
505|4|8|0
679|5|3|9
1549|18|4|0
385|6|6|6
1810|1|2|2
1174|12|4|0
1006|5|6|3
1566|12|1|9
186|2|0|5
938|15|0|0
351|1|5|9
1045|10|2|6
665|13|1|0
51|8|0|5
1558|18|0|4
79|8|3|4
374|18|0|2
133|10|7|9
1851|17|8|4
320|17|6|5
1226|8|0|8
1226|6|9|4
1156|10|6|9
760|18|6|9
1825|2|9|4
1987|18|5|3
814|7|6|2
1450|11|8|1
952|17|0|8
1464|17|0|0
1842|16|9|0
366|8|1|2
1808|17|9|7
550|18|5|6
1695|18|0|3
855|9|6|7
535|2|3|8
110|18|9|9
1999|18|8|4
1478|6|2|7
1442|14|2|4
519|10|9|2
332|11|2|5
965|18|2|9
1684|14|0|6
565|4|9|1
1512|3|4|5
386|8|1|1
271|14|8|9
776|1|5|2
175|5|4|6
12|11|4|6
1554|14|7|2
1765|14|4|0
825|9|9|0
566|18|4|4
63|11|7|1
1770|13|8|8
1398|3|2|9
576|1|1|3
1286|16|7|6
1096|8|9|6
290|5|2|3
774|4|8|8
1417|4|3|6
245|10|6|9
1436|4|2|6
922|2|5|9
1591|18|3|7
262|4|8|5
1498|4|6|8
1354|9|8|0
1105|2|9|1
1008|1|0|6
719|1|6|1
911|3|0|4
387|6|5|2
470|4|6|0
1887|1|4|0
617|9|7|7
1215|11|1|7
1875|8|2|9
1675|6|2|4
627|11|4|8
277|4|7|6
74|17|6|9
604|2|0|8
1702|18|6|7
1220|18|2|5
1695|7|7|4
798|6|7|7
428|12|2|0
314|5|2|4
1005|8|4|1
1920|16|0|7
845|9|4|5
1803|2|4|6
1855|5|3|4
1125|10|5|3
1533|17|5|5
961|2|3|9
1012|1|7|1
1075|8|4|0
1012|14|1|4
1667|12|2|3
1310|1|1|0
898|10|6|6
438|16|0|4
1878|17|0|5
1017|18|6|3
433|9|1|4
111|2|2|9
1939|5|9|1
1091|13|7|2
180|7|5|8
853|10|4|2
228|2|4|1
618|13|7|4
258|7|7|4
1393|16|0|9
1867|5|9|9
628|8|4|1
548|17|4|0
1594|17|5|3
1033|10|2|2
1426|11|5|0
1881|13|5|1
783|8|0|2
326|3|7|9
557|17|0|1
1031|9|6|2
978|3|5|9
101|7|4|1
227|5|9|3
1616|18|3|1
929|13|3|5
1592|9|7|5
1800|12|4|3
316|8|8|8
336|11|9|3
1216|17|1|2
854|9|6|0
1395|17|8|0
1226|10|1|4
989|2|6|0
1665|3|0|3
585|4|3|8
892|1|5|9
1616|9|4|6
533|12|3|6
369|14|7|4
1538|18|2|6
48|12|7|5
30|4|6|7
1329|8|2|5
1454|5|3|2
1748|12|8|7
761|7|8|4
436|3|8|1
1282|7|4|3
134|4|3|6
1252|14|6|3
1460|6|9|0
1725|1|3|3
158|12|4|1
544|15|9|7
1919|14|9|2
109|11|4|0
1171|2|1|9
1422|18|1|5
1752|13|0|5
10|12|0|2
1744|1|9|7
394|18|1|2
1438|18|1|0
838|5|6|5
1611|9|9|6
1806|18|3|8
338|10|0|7
509|4|8|5
583|2|5|4
172|5|4|4
1952|18|2|5
1819|11|6|0
69|3|2|2
1550|13|8|2
633|6|3|2
419|6|1|6
1524|18|3|6
26|1|6|5
701|18|1|5
1112|11|3|6
11|12|1|3
1077|9|7|8
729|5|9|4
1754|10|6|8
1643|14|3|3
1868|14|1|9
244|8|5|4
384|1|3|5
1455|18|7|5
1049|9|2|9
107|12|5|1
1281|12|5|1
551|7|7|1
1157|13|4|8
1319|5|0|8
1341|18|4|4
213|2|7|8
17|8|7|5
2000|4|9|3
1717|9|5|6
467|6|6|3
1958|10|7|6
1774|7|4|6
1353|6|2|5
1296|3|5|9
915|14|6|2
754|5|9|6
726|6|5|6
250|16|9|2
68|10|1|3
1012|18|5|9
1847|2|0|5
1405|6|2|1
1681|3|3|2
362|11|6|5
1467|17|2|6
1452|4|8|7
859|5|8|6
1604|8|1|4
1831|12|0|7
1214|1|0|3
1475|17|3|9
13|3|8|1
149|4|1|2
1305|10|0|7
931|14|6|2
1082|17|9|4
943|9|1|5
1568|5|4|5
862|11|6|8
722|11|5|0
1773|3|9|0
1208|10|8|0
1957|13|0|7
784|11|1|0
870|1|8|7
62|7|0|9
1032|10|6|1
1088|1|8|8
1736|1|8|0
365|3|4|2
1058|9|8|5
283|12|3|8
1666|12|0|5
1390|8|6|2
986|10|6|7
57|9|6|4
1023|4|2|6
1833|8|5|8
948|18|3|4
270|10|2|0
1555|3|1|7
785|8|1|2
302|14|4|0
713|17|8|8
1586|3|5|4
1101|16|5|2
1516|18|9|3
574|4|3|0
1142|7|8|2
45|10|2|9
1163|9|3|4
1754|16|5|3
1702|13|1|7
1386|3|0|7
843|18|2|1
387|3|7|9
1891|12|9|7
1091|18|3|2
116|13|6|8
938|17|9|2
327|17|7|2
1116|8|6|7
941|13|8|7
1704|4|0|9
264|11|7|7
1830|8|7|2
1651|10|0|0
1082|18|4|4
655|5|5|2
1922|5|6|1
244|3|9|2
417|11|2|8
315|14|8|8
1350|5|7|7
263|18|0|1
1597|1|5|3
1452|6|4|5
915|12|1|9
438|8|4|2
1486|12|2|9
498|8|1|4
1276|13|3|4
1272|12|7|1
554|18|5|2
218|17|7|0
1745|8|0|1
1523|17|7|9
1897|14|0|9
48|2|0|0
1999|6|9|6
1750|15|7|5
801|3|9|2
1114|13|0|3
1750|10|1|5
259|18|4|8
977|5|7|7
67|3|9|7
525|2|3|4
196|16|3|1
555|7|9|0
1281|8|2|0
1443|7|7|6
1879|3|2|1
41|6|3|1
486|7|5|0
146|5|7|9
909|11|0|2
528|9|1|4
189|10|7|3
1391|13|1|3
1101|3|4|3
1878|5|8|2
355|11|3|8
480|8|7|2
1704|8|5|0
1225|18|0|3
697|12|8|0
1668|18|6|9
773|8|8|5
947|1|8|6
1345|16|8|4
112|13|3|7
849|13|4|3
707|12|4|3
199|18|4|8
92|4|1|6
1922|9|9|7
1000|16|3|5
139|6|7|1
914|4|0|4
73|8|2|0
1126|10|2|1
1868|13|7|9
1961|7|6|8
1163|3|9|7
1834|1|0|0
1318|18|5|3
178|18|5|4
446|11|0|3
143|3|0|9
1826|10|1|6
1847|6|4|8
117|13|5|6
63|14|9|3
1114|3|9|9
1923|15|0|3
964|11|2|9
1132|10|5|3
976|18|3|8
895|3|2|4
1602|16|4|6
325|11|7|3
949|17|4|9
765|6|4|6
704|10|7|8
705|15|9|0
99|18|8|0
949|17|7|9
6|18|6|7
182|3|2|2
696|6|5|7
110|1|1|2
405|10|4|8
1227|10|4|7
1292|12|8|3
659|14|2|7
74|16|3|5
1791|2|0|2
724|8|9|6
926|17|4|6
995|4|3|6
1773|7|4|7
849|14|6|4
334|9|7|5
657|2|7|1
1907|17|6|1
1149|17|7|4
43|8|9|3
379|16|2|8
1415|18|5|8
1832|18|4|8
445|2|6|4
1827|6|9|6
124|7|4|0
557|3|0|3
959|3|1|5
1483|12|0|5
1946|4|3|8
302|4|6|4
1497|15|7|9
449|2|3|7
1987|3|9|5
817|2|8|2
990|17|1|4
736|18|4|1
1954|5|4|8
953|10|6|4
1954|16|6|7
1173|9|7|0
392|9|4|6
1648|6|1|0
1558|16|0|9
780|18|2|4
627|7|3|5
1961|9|3|0
1874|14|6|5
713|8|4|2
96|4|6|6
288|8|5|7
1649|17|7|8
1914|3|2|9
1367|12|0|2
949|13|4|0
1730|4|0|2
1738|1|0|5
1503|5|9|4
1019|9|9|0
426|9|5|3
1674|16|8|7
664|15|8|9
195|13|1|8
708|7|0|8
518|11|5|6
1772|4|1|4
1847|9|3|5
1409|14|9|9
928|13|5|1
1431|8|6|7
358|9|9|6
1901|3|4|0
1738|8|2|2
379|16|0|5
864|11|4|2
1126|6|8|9
1662|6|4|5
1646|11|3|8
1851|18|4|0
1039|12|2|0
1918|9|5|1
562|13|1|3
497|17|1|0
525|11|5|0
873|14|8|8
988|2|3|5
288|8|4|3
1137|5|5|1
1116|2|9|6
1583|11|4|2
1121|13|5|3
869|6|5|4
1661|1|0|8
450|8|8|1
839|1|0|4
793|2|0|5
1432|1|6|9
1935|2|7|9
702|16|9|2
1150|3|1|6
426|10|0|3
970|3|0|7
1014|1|3|4
449|7|5|0
1399|5|0|1
43|10|8|9
950|4|2|8
651|4|6|5
26|18|3|3
968|1|2|6
460|3|9|5
16|6|6|0
260|18|3|8
973|14|6|5
868|7|8|2
776|14|9|2
1372|14|6|4
1512|2|2|3
1372|6|8|6
214|9|0|3
1302|11|9|9
848|13|0|9
214|16|4|8
967|1|2|1
280|14|8|6
885|18|4|5
1113|18|1|5
1199|17|3|0
152|2|0|6
1925|2|1|3
1645|11|3|0
1092|18|3|5
1723|9|4|9
481|10|7|4
422|18|7|8
1345|6|0|9
1322|17|1|1
486|18|6|9
1161|17|7|5
1342|16|8|5
768|12|7|1
1015|18|1|3
433|16|6|3
956|6|2|3
1297|2|9|6
1962|17|3|3
490|18|6|8
1220|18|3|0
108|4|6|9
1555|16|8|1
1463|18|5|1
1801|14|3|5
422|10|6|7
1660|5|5|0
672|10|3|8
313|7|6|6
1040|5|0|1
1583|5|2|3
1039|5|6|0
1867|7|7|7
1410|17|0|7
1002|6|1|2
283|10|2|5
280|4|4|9
471|2|8|8
1356|9|6|7
93|8|2|5
28|9|8|6
1935|15|9|3
1196|10|0|8
1780|8|1|4
266|1|0|7
1020|7|1|7
500|14|9|3
1575|13|1|1
983|6|4|2
776|7|4|2
1785|15|0|5
1317|13|1|9
693|8|4|3
136|16|3|3
722|10|9|8
690|8|1|8
1584|18|3|1
1794|2|5|1
1944|12|4|3
1081|8|6|5
1627|13|7|6
1078|2|9|6
1068|17|5|1
1981|16|9|0
1936|12|8|3
1911|3|1|5
394|5|0|5
435|7|5|4
1854|9|3|9
1715|10|6|6
660|15|9|1
217|13|7|4
83|13|0|5
1288|14|1|7
656|18|0|5
168|13|3|1
153|6|1|5
1222|14|5|9
522|1|8|9
1584|12|8|9
1715|6|1|7
1445|5|3|6
1506|18|1|9
1215|8|4|7
274|3|0|8
109|3|8|3
145|15|8|5
646|4|3|9
1054|6|5|5
1089|1|2|7
1886|10|0|6
1696|12|2|7
989|2|4|4
1680|18|5|2
1875|1|1|8
655|16|2|7
428|10|8|7
1597|14|2|7
65|12|5|2
573|2|5|8
656|4|5|2
1280|9|3|0
1478|9|9|5
721|3|3|5
1741|5|5|3
461|4|8|8
144|16|8|2
1684|4|0|9
1601|10|2|5
879|13|6|1
872|8|4|0
1523|17|3|3
1261|16|4|3
1971|18|2|0
1222|9|2|3
8|9|0|5
1439|5|8|7
1038|12|0|6
430|1|7|8
61|6|7|9
471|7|9|9
56|4|2|6
718|12|1|4
1665|16|9|7
1467|15|8|9
602|12|8|4
1256|14|9|1
420|5|0|6
90|4|9|5
1001|12|8|8
1201|4|0|2
103|18|7|9
982|4|4|5
1402|17|0|7
1012|16|8|6
1619|2|2|4
159|9|1|9
1249|14|4|2
576|8|1|7
501|13|4|0
